track_name,genres
"Lean, Baby","['adult standards', 'easy listening', 'lounge']"
I've Got The World On A String,"['adult standards', 'easy listening', 'lounge']"
I Get A Kick Out Of You,"['adult standards', 'easy listening', 'lounge']"
Young At Heart,"['adult standards', 'easy listening', 'lounge']"
Just One Of Those Things,"['adult standards', 'easy listening', 'lounge']"
I Get Along Without You Very Well,"['adult standards', 'easy listening', 'lounge']"
In The Wee Small Hours Of The Morning,"['adult standards', 'easy listening', 'lounge']"
Learnin' The Blues,"['adult standards', 'easy listening', 'lounge']"
Love And Marriage,"['adult standards', 'easy listening', 'lounge']"
(Love Is) The Tender Trap,"['adult standards', 'easy listening', 'lounge']"
You Make Me Feel So Young,"['adult standards', 'easy listening', 'lounge']"
I've Got You Under My Skin,"['adult standards', 'easy listening', 'lounge']"
I Couldn't Sleep A Wink Last Night,"['adult standards', 'easy listening', 'lounge']"
The Lady Is A Tramp,"['adult standards', 'easy listening', 'lounge']"
Night And Day,"['adult standards', 'easy listening', 'lounge']"
Oh! Look At Me Now,"['adult standards', 'easy listening', 'lounge']"
Where Are You?,"['adult standards', 'easy listening', 'lounge']"
Witchcraft,"['adult standards', 'easy listening', 'lounge']"
All The Way,"['adult standards', 'easy listening', 'lounge']"
Moonlight In Vermont,"['adult standards', 'easy listening', 'lounge']"
Roadkill,['chill dream pop']
She's Thunderstorms,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Black Treacle,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Brick By Brick,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
The Hellcat Spangled Shalalala,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Don't Sit Down 'Cause I've Moved Your Chair,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Library Pictures,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
All My Own Stunts,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Reckless Serenade,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Piledriver Waltz,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Love is a Laserquest,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Suck It and See,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
That's Where You're Wrong,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Future Nostalgia,"['dance pop', 'pop', 'uk pop']"
Don't Start Now,"['dance pop', 'pop', 'uk pop']"
Cool,"['dance pop', 'pop', 'uk pop']"
Physical,"['dance pop', 'pop', 'uk pop']"
Levitating,"['dance pop', 'pop', 'uk pop']"
Pretty Please,"['dance pop', 'pop', 'uk pop']"
Hallucinate,"['dance pop', 'pop', 'uk pop']"
Love Again,"['dance pop', 'pop', 'uk pop']"
Break My Heart,"['dance pop', 'pop', 'uk pop']"
Good In Bed,"['dance pop', 'pop', 'uk pop']"
Boys Will Be Boys,"['dance pop', 'pop', 'uk pop']"
Levitating (feat. DaBaby),"['dance pop', 'pop', 'uk pop']"
Fever,"['dance pop', 'pop', 'uk pop']"
Star Treatment,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
One Point Perspective,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
American Sports,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Tranquility Base Hotel & Casino,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Golden Trunks,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Four Out Of Five,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
The World's First Ever Monster Truck Front Flip,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Science Fiction,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
She Looks Like Fun,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Batphone,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
The Ultracheese,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Genesis,"['dance pop', 'pop', 'uk pop']"
Lost In Your Light (feat. Miguel),"['dance pop', 'pop', 'uk pop']"
Hotter Than Hell,"['dance pop', 'pop', 'uk pop']"
Be the One,"['dance pop', 'pop', 'uk pop']"
IDGAF,"['dance pop', 'pop', 'uk pop']"
Blow Your Mind (Mwah),"['dance pop', 'pop', 'uk pop']"
Garden,"['dance pop', 'pop', 'uk pop']"
No Goodbyes,"['dance pop', 'pop', 'uk pop']"
Thinking 'Bout You,"['dance pop', 'pop', 'uk pop']"
New Rules,"['dance pop', 'pop', 'uk pop']"
Begging,"['dance pop', 'pop', 'uk pop']"
Homesick,"['dance pop', 'pop', 'uk pop']"
Dreams,"['dance pop', 'pop', 'uk pop']"
Room for 2,"['dance pop', 'pop', 'uk pop']"
New Love,"['dance pop', 'pop', 'uk pop']"
Bad Together,"['dance pop', 'pop', 'uk pop']"
Last Dance,"['dance pop', 'pop', 'uk pop']"
Want To,"['dance pop', 'pop', 'uk pop']"
Running,"['dance pop', 'pop', 'uk pop']"
Kiss and Make Up,"['dance pop', 'pop', 'uk pop']"
You Have Got to Be Kidding Me,['chill dream pop']
There’d Better Be A Mirrorball,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
I Ain’t Quite Where I Think I Am,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Sculptures Of Anything Goes,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Jet Skis On The Moat,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Body Paint,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
The Car,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Big Ideas,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Hello You,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Mr Schwartz,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Perfect Sense,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
(I Wanted) Summer With You,['boston indie']
Alright,['boston indie']
Hours,['indie soul']
Do I Wanna Know?,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
R U Mine?,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
One For The Road,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Arabella,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
I Want It All,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
No. 1 Party Anthem,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Mad Sounds,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Fireside,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Why'd You Only Call Me When You're High?,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Snap Out Of It,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Knee Socks,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
I Wanna Be Yours,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
Roll Up,"['glam rock', 'modern alternative rock']"
Could Have Been Me,"['glam rock', 'modern alternative rock']"
Kiss This,"['glam rock', 'modern alternative rock']"
Put Your Money On Me,"['glam rock', 'modern alternative rock']"
Mary Go Round,"['glam rock', 'modern alternative rock']"
Dirty Sexy Money,"['glam rock', 'modern alternative rock']"
The Ol' Switcheroo,"['glam rock', 'modern alternative rock']"
She Makes Me Feel Like,"['glam rock', 'modern alternative rock']"
Young Stars,"['glam rock', 'modern alternative rock']"
Black Swan,"['glam rock', 'modern alternative rock']"
These Times Are Changing,"['glam rock', 'modern alternative rock']"
Only Just A Call Away,"['glam rock', 'modern alternative rock']"
Where Did She Go,"['glam rock', 'modern alternative rock']"
Bach Vision Test,"['ann arbor indie', 'funk rock', 'instrumental funk']"
3 on E,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Test Drive (Instrumental),"['ann arbor indie', 'funk rock', 'instrumental funk']"
Radio Shack,"['ann arbor indie', 'funk rock', 'instrumental funk']"
LAX,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Poinciana,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Eddie Buzzsaw,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Something,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Santa Baby,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Off and Away,"['ann arbor indie', 'funk rock', 'instrumental funk']"
Genesis,"['dance pop', 'pop', 'uk pop']"
Lost In Your Light (feat. Miguel),"['dance pop', 'pop', 'uk pop']"
Hotter Than Hell,"['dance pop', 'pop', 'uk pop']"
Be the One,"['dance pop', 'pop', 'uk pop']"
IDGAF,"['dance pop', 'pop', 'uk pop']"
Blow Your Mind (Mwah),"['dance pop', 'pop', 'uk pop']"
Garden,"['dance pop', 'pop', 'uk pop']"
No Goodbyes,"['dance pop', 'pop', 'uk pop']"
Thinking 'Bout You,"['dance pop', 'pop', 'uk pop']"
New Rules,"['dance pop', 'pop', 'uk pop']"
Begging,"['dance pop', 'pop', 'uk pop']"
Homesick,"['dance pop', 'pop', 'uk pop']"
Dreams,"['dance pop', 'pop', 'uk pop']"
Room for 2,"['dance pop', 'pop', 'uk pop']"
New Love,"['dance pop', 'pop', 'uk pop']"
Bad Together,"['dance pop', 'pop', 'uk pop']"
Last Dance,"['dance pop', 'pop', 'uk pop']"
